Rank,Name,Level,XP,Page
1999976,KNOWLESJNR,48,83683,80000
1999977,Randolph Jr,48,83683,80000
1999978,Snooops,48,83682,80000
1999979,Mammoth Zeus,48,83682,80000
1999980,GrungyFlower,48,83682,80000
1999981,elliot8987,48,83682,80000
1999982,QuestCaped,48,83681,80000
1999983,HappninLads,48,83681,80000
1999984,Zaridis,48,83681,80000
1999985,Suspectangel,48,83681,80000
1999986,Rajaryen,48,83681,80000
1999987,brrrawr,48,83680,80000
1999988,YucaFrita111,48,83680,80000
1999989,Caalia123,48,83680,80000
1999990,Fat_Albert45,48,83679,80000
1999991,iklaf1223,48,83679,80000
1999992,merchlyfe,48,83678,80000
1999993,RagingJoan,48,83678,80000
1999994,Iron Mal1ce,48,83678,80000
1999995,wezmolic,48,83678,80000
1999996,19jmac90,48,83678,80000
1999997,DankGrady,48,83678,80000
1999998,IMOutOfBrews,48,83678,80000
1999999,Acaelus T,48,83677,80000
2000000,MissFe598,48,83677,80000
999976,H8 RS,71,849859,40000
999977,Pked Ub,71,849859,40000
999978,Infamous Oz,71,849855,40000
999979,Pray B4 I K0,71,849854,40000
999980,BsouthBeauty,71,849853,40000
999981,Ayceus,71,849849,40000
999982,12345tomo,71,849846,40000
999983,Brentc57,71,849846,40000
999984,General Meme,71,849843,40000
999985,ADC Riven,71,849841,40000
999986,conan012,71,849841,40000
999987,A Rare NPC,71,849840,40000
999988,Ruuso,71,849832,40000
999989,IronBeagle32,71,849832,40000
999990,Artopolie,71,849826,40000
999991,Fe Tellahty,71,849826,40000
999992,Acun,71,849825,40000
999993,Zaryte Range,71,849825,40000
999994,Islamicpower,71,849824,40000
999995,Conan bvb,71,849822,40000
999996,Flexte,71,849822,40000
999997,Drfrigawsome,71,849822,40000
999998,GGWhenIPlay,71,849818,40000
999999,NPLNbonafart,71,849816,40000
1000000,Cahosblade,71,849810,40000
1499976,Iron_Divine4,60,277912,60000
1499977,scavboy,60,277912,60000
1499978,HC Wen293,60,277912,60000
1499979,stefko233,60,277911,60000
1499980,WillysWood69,60,277911,60000
1499981,Ooblagoo,60,277911,60000
1499982,Fllip,60,277911,60000
1499983,RiverFence1,60,277911,60000
1499984,O LorD Ray,60,277911,60000
1499985,Fr3dP3rry,60,277911,60000
1499986,Ilikethings,60,277911,60000
1499987,Nyccolas2,60,277911,60000
1499988,Dogsrule,60,277911,60000
1499989,Radi194,60,277910,60000
1499990,Uank,60,277910,60000
1499991,figar,60,277910,60000
