Rank,Name,Level,XP,Page
1999976,DressChurch5,46,69720,80000
1999977,La Maupin,46,69720,80000
1999978,CatchYao,46,69719,80000
1999979,kingscarz123,46,69719,80000
1999980,II7,46,69718,80000
1999981,CanadianBud,46,69718,80000
1999982,Xans4clout,46,69718,80000
1999983,Wonder Brod,46,69718,80000
1999984,JarOfSquirt,46,69718,80000
1999985,bitingRanger,46,69717,80000
1999986,Rm190,46,69717,80000
1999987,Brettson88,46,69717,80000
1999988,Promethian15,46,69717,80000
1999989,SmokeyBrowni,46,69717,80000
1999990,Amalieeee,46,69717,80000
1999991,brody pure1,46,69717,80000
1999992,WSmith1984,46,69717,80000
1999993,Path-up,46,69717,80000
1999994,davvegove99,46,69717,80000
1999995,RyKyFatBoy,46,69715,80000
1999996,XpL4mp,46,69715,80000
1999997,[#8TDAY3TQY],46,69715,80000
1999998,Perfect Dog,46,69715,80000
1999999,SunnYang,46,69715,80000
2000000,Gulgasm,46,69715,80000
999976,USA i,63,384225,40000
999977,IronSealRS,63,384225,40000
999978,Karrabind,63,384223,40000
999979,hehe ing,63,384223,40000
999980,Hana Kaito,63,384222,40000
999981,KKHaakneus69,63,384222,40000
999982,ShimmerDrake,63,384220,40000
999983,IronBasics,63,384219,40000
999984,dethcorpsjoe,63,384218,40000
999985,Cryptic Cow,63,384217,40000
999986,1lIIll1,63,384216,40000
999987,7 Dooms,63,384216,40000
999988,Zionclaw,63,384214,40000
999989,darklord 99,63,384213,40000
999990,Crazy Kizmet,63,384213,40000
999991,ThurmanPotts,63,384212,40000
999992,Icy Branwen,63,384211,40000
999993,Ishataka,63,384211,40000
999994,zur del mar,63,384210,40000
999995,TOP1sRevenge,63,384210,40000
999996,Bdushh,63,384209,40000
999997,WitleSawsage,63,384207,40000
999998,SmoK1nSkillZ,63,384207,40000
999999,Puppppy,63,384205,40000
1000000,Iron Griever,63,384204,40000
1499976,Vals Pal,53,144091,60000
1499977,drama bahama,53,144091,60000
1499978,kaceboy,53,144091,60000
1499979,meepmeep2012,53,144091,60000
1499980,shatazpker,53,144090,60000
1499981,Mr Jellohead,53,144090,60000
1499982,Glacisz,53,144090,60000
1499983,DarkLucci,53,144090,60000
1499984,Momopeach1,53,144090,60000
1499985,gabagooey,53,144090,60000
1499986,Why_Not0,53,144089,60000
1499987,DURTMCGURT14,53,144089,60000
1499988,GIM Peachy,53,144088,60000
1499989,Dradams,53,144087,60000
1499990,Kivarae,53,144087,60000
1499991,You_In,53,144087,60000
1499992,Brooklyn Net,53,144087,60000
1499993,The Trompe,53,144085,60000
1499994,F1R3Z0R,53,144085,60000
1499995,One Man Road,53,144085,60000
1499996,Glass of Soy,53,144085,60000
1499997,YunggDurk,53,144085,60000
1499998,Wizard 6024,53,144084,60000
1499999,LilVeron,53,144084,60000
1500000,Plasma01,53,144083,60000
1749976,AfkTimes,50,103184,70000
1749977,Switchye,50,103184,70000
1749978,KevBar,50,103184,70000
1749979,GIFrosty,50,103184,70000
1749980,AzmiAskYou,50,103183,70000
1749981,BrodsChodes,50,103183,70000
1749982,TipsyBarman,50,103183,70000
1749983,OJOJ,50,103183,70000
1749984,Ostrufka,50,103182,70000
1749985,BomberSenpai,50,103182,70000
1749986,FreeMindDMT,50,103182,70000
1749987,DabularDev,50,103182,70000
1749988,Oleifly,50,103182,70000
1749989,Manzonb145,50,103182,70000
1749990,BoongyGIM,50,103182,70000
1749991,eatt my butt,50,103182,70000
1749992,Dugan556,50,103181,70000
1749993,BilliumScoop,50,103181,70000
1749994,sIime,50,103181,70000
1749995,Kviotr,50,103181,70000
1749996,Gods Knight,50,103180,70000
1749997,JawzGee35,50,103180,70000
1749998,Brother Beer,50,103180,70000
1749999,Paft,50,103180,70000
1750000,Khaletiem,50,103180,70000
1874976,Linen 1343,48,86817,75000
1874977,53 Cat Foam,48,86817,75000
1874978,Slayhydra423,48,86817,75000
1874979,Soondark1270,48,86817,75000
1874980,Z-eek,48,86817,75000
1874981,Videsan,48,86817,75000
1874982,Shiros Blade,48,86817,75000
1874983,Kgrilllz,48,86817,75000
1874984,jexxicalynn,48,86817,75000
1874985,Just Pkin,48,86816,75000
1874986,Killua1988,48,86816,75000
1874987,Triplication,48,86815,75000
1874988,Korxx,48,86815,75000
1874989,Ma Ka Veli,48,86815,75000
1874990,F0_oRF3EF,48,86815,75000
1874991,DarthKylo12,48,86815,75000
1874992,Krewgher,48,86815,75000
1874993,Songrule1546,48,86815,75000
1874994,Llamalamp,48,86815,75000
1874995,Haldir640,48,86815,75000
1874996,36magical337,48,86815,75000
1874997,Fire Hex 848,48,86815,75000
1874998,Otis Sparrow,48,86815,75000
1874999,Llanthe,48,86814,75000
1875000,Tedsu,48,86814,75000
1937476,Evenfiery76,47,78040,77500
1937477,28 Dark 2898,47,78040,77500
1937478,91bounty1917,47,78040,77500
1937479,61 Worn 1559,47,78040,77500
1937480,10 Drag 1705,47,78040,77500
1937481,81 Chaos 813,47,78040,77500
1937482,Cowsslay1272,47,78040,77500
1937483,Law Sail 985,47,78040,77500
1937484,47mortal2673,47,78040,77500
1937485,12 Gorak 494,47,78040,77500
1937486,Coldsylph89,47,78040,77500
1937487,Chaosrain332,47,78040,77500
1937488,45 Evil 2519,47,78040,77500
1937489,10crazysand,47,78040,77500
1937490,Mortuus99,47,78040,77500
1937491,Darkwolf2530,47,78040,77500
1937492,Warmghost357,47,78040,77500
1937493,59destroy40,47,78040,77500
1937494,30cast1578,47,78040,77500
1937495,35devoid1736,47,78039,77500
1937496,HughJazzhole,47,78039,77500
1937497,IronArdent,47,78039,77500
1937498,Glaedrblade,47,78038,77500
1937499,OGLumbyNwb69,47,78037,77500
1937500,Pray Lev 999,47,78037,77500
1968726,68misty1888,46,73825,78750
1968727,DexterMoe,46,73825,78750
1968728,OG Arturi13,46,73825,78750
1968729,HakaiSuru,46,73825,78750
1968730,Jousway,46,73825,78750
1968731,sirtokeson,46,73824,78750
1968732,Melo Smoke,46,73824,78750
1968733,G I M Demon,46,73823,78750
1968734,vacantia258,46,73822,78750
1968735,Pimbeeee,46,73822,78750
1968736,Nickelll1133,46,73822,78750
1968737,buttcough69,46,73822,78750
1968738,crictusmaxus,46,73822,78750
1968739,Glandorrf,46,73822,78750
1968740,Lilchubbyboi,46,73822,78750
1968741,xRy Bread,46,73822,78750
1968742,10mars2858,46,73822,78750
1968743,55 Rain 2760,46,73822,78750
1968744,BeBobadran,46,73822,78750
1968745,zamoloide,46,73822,78750
1968746,Karvamies123,46,73821,78750
1968747,dabslabs26,46,73820,78750
1968748,porkoanoise,46,73820,78750
1968749,Mm6007,46,73820,78750
1968750,Sectbhcabby,46,73820,78750
1953101,93foolish552,47,75932,78125
1953102,Sir End Axe,47,75932,78125
1953103,75grotto2133,47,75932,78125
1953104,79funny1164,47,75932,78125
1953105,92odingold,47,75932,78125
1953106,Farfence1994,47,75932,78125
1953107,8frozen1911,47,75932,78125
1953108,abood_VII,47,75932,78125
1953109,94 Were 1007,47,75932,78125
1953110,21furydryad,47,75932,78125
1953111,Firedayfear,47,75932,78125
1953112,Demonorc2605,47,75932,78125
1953113,Ace1615,47,75932,78125
1953114,FileZilla,47,75932,78125
1953115,Coolshirtbra,47,75932,78125
1953116,aidey-eight,47,75932,78125
1953117,Impledob,47,75932,78125
1953118,Mrdoom336,47,75932,78125
1953119,domboo1,47,75932,78125
1953120,WILLIEZEIZA,47,75932,78125
1953121,WhistleHat9,47,75932,78125
1953122,Solo Joe22,47,75931,78125
1953123,Sleepdr,47,75931,78125
