Rank,Name,Level,XP,Page
1999976,Come Pub,25,8010,80000
1999977,kww18,25,8010,80000
1999978,ShyBobFly,25,8010,80000
1999979,ruhhrohh,25,8010,80000
1999980,FourTooAte,25,8010,80000
1999981,AdeptusDesu,25,8010,80000
1999982,Etnies00,25,8009,80000
1999983,Mingatos,25,8009,80000
1999984,FlTT,25,8009,80000
1999985,Prurient,25,8009,80000
1999986,Daddyslime,25,8009,80000
1999987,aprilia507,25,8009,80000
1999988,Megsketi,25,8009,80000
1999989,HCIM Dev BTW,25,8009,80000
1999990,Spinolyp420,25,8009,80000
1999991,Dodgy_Badger,25,8009,80000
1999992,ObuObuObu,25,8009,80000
1999993,saboneteavon,25,8009,80000
1999994,KuumaLurps,25,8009,80000
1999995,Texiled,25,8009,80000
1999996,ZYNOR9191,25,8009,80000
1999997,Hardcore TID,25,8009,80000
1999998,hanselord,25,8009,80000
1999999,Sad Game Rly,25,8009,80000
2000000,Schitty GIM,25,8009,80000
999976,OBLAH JUJU,63,376865,40000
999977,Kvon97,63,376865,40000
999978,Miiinoo,63,376864,40000
999979,mrp1xl,63,376864,40000
999980,AStakingBot,63,376863,40000
999981,hamboigaz,63,376863,40000
999982,Limonenol,63,376863,40000
999983,Roman dig,63,376862,40000
999984,Heavenly Rod,63,376862,40000
999985,Zeffix,63,376861,40000
999986,Valmordan,63,376861,40000
999987,MadStaker,63,376859,40000
999988,level-61,63,376857,40000
999989,Kenya Swallo,63,376856,40000
999990,Bevile,63,376856,40000
999991,KarjuFIN,63,376856,40000
999992,YsL Slimed,63,376856,40000
999993,cplilly94,63,376856,40000
999994,Meat Tunnel,63,376855,40000
999995,DattaPure,63,376854,40000
999996,milomug,63,376853,40000
999997,steelwaryer,63,376853,40000
999998,swaglife2,63,376852,40000
999999,Foxy Hawk,63,376850,40000
1000000,BigShins,63,376849,40000
1499976,KingLigma,44,56450,60000
1499977,Verxoth,44,56450,60000
1499978,Minitwix,44,56450,60000
1499979,Yulldo,44,56450,60000
1499980,Xepicious,44,56450,60000
1499981,IM 086,44,56450,60000
1499982,0F0L0Y0N0N0,44,56449,60000
1499983,Peyo97,44,56449,60000
1499984,Iron Luuucky,44,56448,60000
1499985,GoldenPeyote,44,56448,60000
1499986,StickmanGaz,44,56448,60000
1499987,JR Upz,44,56447,60000
1499988,therealltony,44,56447,60000
1499989,Wobbbba Dong,44,56447,60000
